month,dln_cpi,cumulative_pct,pass_through_pct,shock_pct,duration
1,0.01767874256811799,2.5009783973479887,13.71740369776678,+20%,3 month
2,0.005407981155254391,3.0417765128734278,16.68358128551416,+20%,3 month
3,-0.003526198919675665,2.6891566209058615,14.749526431177493,+20%,3 month
4,-0.014247991523008872,1.2643574686049743,6.934766743100219,+20%,3 month
5,-0.0021996552386502207,1.0443919447399521,5.72829654981633,+20%,3 month
6,-7.908591746893861e-4,0.9653060272710136,5.294524927526404,+20%,3 month
7,-5.977716390315709e-4,0.9055288633678564,4.966658245416441,+20%,3 month
8,-5.453014758253139e-4,0.8509987157853252,4.667570476852919,+20%,3 month
9,-5.106975680245355e-4,0.7999289589828715,4.387462311365013,+20%,3 month
10,-4.7984827775136553e-4,0.751944131207735,4.124274410718875,+20%,3 month
11,-4.510409358860385e-4,0.7068400376191312,3.876886803999518,+20%,3 month
12,-4.2398338779979207e-4,0.6644416988391519,3.644339761699443,+20%,3 month
0,0.007331041405361898,0.7331041405361898,4.020940548268168,+20%,Permanent
1,0.01767874256811799,2.5009783973479887,13.71740369776678,+20%,Permanent
2,0.005407981155254391,3.0417765128734278,16.68358128551416,+20%,Permanent
3,0.0038048424856862322,3.422260761442051,18.770466979445658,+20%,Permanent
4,0.0034307510451091184,3.765335865952963,20.652170440867003,+20%,Permanent
5,0.0032083259166041703,4.08616845761338,22.41187783533049,+20%,Permanent
6,0.0030139833109968464,4.387566788713064,24.064991906972065,+20%,Permanent
7,0.0028329794060775477,4.67086472932082,25.61882868628344,+20%,Permanent
8,0.002663024440778857,4.937167173398705,27.07944831218341,+20%,Permanent
9,0.0025032857429723113,5.187495747695936,28.452454218337074,+20%,Permanent
10,0.0023531311283261818,5.422808860528554,29.743103097002315,+20%,Permanent
11,0.0022119835048928184,5.644007211017836,30.956335116182927,+20%,Permanent
12,0.002079302355172519,5.851937446535088,32.09679398003652,+20%,Permanent
0,0.010549511094138882,1.0549511094138881,4.020940548268168,+30%,1 month
1,0.01489054312740447,2.544005422154335,9.696463149498612,+30%,1 month
2,-0.017657864210650367,0.7782190010892984,2.96617758774738,+30%,1 month
3,-0.002306947709732306,0.5475242301160678,2.0868856939315004,+30%,1 month
4,-5.383248551432571e-4,0.4936917446017421,1.8817034614213408,+30%,1 month
5,-3.200740837532316e-4,0.4616843362264189,1.7597073944634907,+30%,1 month
6,-2.796627873931801e-4,0.4337180574871009,1.653114071641574,+30%,1 month
7,-2.604681378053603e-4,0.4076712437065649,1.5538367793113779,+30%,1 month
8,-2.4456849890537737e-4,0.3832143938160271,1.4606196258999682,+30%,1 month
9,-2.298670913849877e-4,0.36022768467752836,1.3730059061536688,+30%,1 month
10,-2.1607540940730667e-4,0.3386201437367977,1.2906488786652397,+30%,1 month
11,-2.031141739606778e-4,0.31830872634072993,1.2132320191806105,+30%,1 month
12,-1.9093075370351173e-4,0.2992156509703788,1.1404588638535942,+30%,1 month
0,0.010549511094138882,1.0549511094138881,4.020940548268168,+30%,2 month
1,0.02544005422154335,3.598956531568223,13.71740369776678,+30%,2 month
2,-0.0027673210832459003,3.3222244232436333,12.662640737245992,+30%,2 month
3,-0.019964811920382675,1.3257432312053656,5.053063281678879,+30%,2 month
4,-0.0028452725648755632,1.0412159747178094,3.968589155352839,+30%,2 month
5,-8.583989388964884e-4,0.9553760808281605,3.6414108558848293,+30%,2 month
6,-5.997368711464113e-4,0.8954023937135193,3.4128214661050627,+30%,2 month
7,-5.401309251985401e-4,0.8413893011936654,3.2069508509529507,+30%,2 month
8,-5.050366367107375e-4,0.7908856375225916,3.014456405211344,+30%,2 month
9,-4.7443559029036476e-4,0.743442078493555,2.8336255320536354,+30%,2 month
10,-4.459425007922941e-4,0.6988478284143257,2.663654784818907,+30%,2 month
11,-4.191895833679842e-4,0.6569288700775272,2.503880897845849,+30%,2 month
12,-3.9404492766418925e-4,0.6175243773111083,2.3536908830342034,+30%,2 month
0,0.010549511094138882,1.0549511094138881,4.020940548268168,+30%,3 month
1,0.02544005422154335,3.598956531568223,13.71740369776678,+30%,3 month
2,0.007782190010892982,4.377175532657521,16.68358128551416,+30%,3 month
3,-0.0050742687929782055,3.869748653359701,14.749526431177493,+30%,3 month
4,-0.020503136775525933,1.8194349758071078,6.934766743100219,+30%,3 month
5,-0.003165346648628795,1.502900310944228,5.72829654981633,+30%,3 month
6,-0.0011380617262896685,1.389094138315261,5.294524927526402,+30%,3 month
7,-8.602050089517716e-4,1.303073637420084,4.96665824541644,+30%,3 month
8,-7.846994241039174e-4,1.2246036950096924,4.667570476852918,+30%,3 month
9,-7.349037280957251e-4,1.1511133222001197,4.387462311365012,+30%,3 month
10,-6.905109996976714e-4,1.0820622222303526,4.124274410718875,+30%,3 month
11,-6.490566747529718e-4,1.0171565547550554,3.8768868039995166,+30%,3 month
12,-6.101203370714958e-4,0.9561445210479058,3.644339761699442,+30%,3 month
0,0.010549511094138882,1.0549511094138881,4.020940548268168,+30%,Permanent
1,0.02544005422154335,3.598956531568223,13.71740369776678,+30%,Permanent
2,0.007782190010892982,4.377175532657521,16.68358128551416,+30%,Permanent
3,0.005475242301160676,4.92469976277359,18.77046697944566,+30%,Permanent
4,0.004936917446017418,5.418391507375331,20.652170440867,+30%,Permanent
5,0.004616843362264187,5.880075843601749,22.411877835330486,+30%,Permanent
6,0.004337180574871007,6.31379390108885,24.064991906972065,+30%,Permanent
7,0.004076712437065647,6.721465144795415,25.61882868628344,+30%,Permanent
8,0.00383214393816027,7.104679538611442,27.07944831218341,+30%,Permanent
9,0.003602276846775283,7.464907223288971,28.452454218337074,+30%,Permanent
10,0.0033862014373679753,7.803527367025767,29.74310309700231,+30%,Permanent
11,0.0031830872634072984,8.121836093366499,30.956335116182927,+30%,Permanent
12,0.002992156509703786,8.421051744336875,32.096793980036516,+30%,Permanent
