month,dln_brent,dln_gengi,dln_eu_ppi,dln_cpi,cum_brent,cum_gengi,cum_eu_ppi,cum_cpi,shock_pct,duration,shock_label
3,-0.09417682549553265,0.002285150968340332,-0.0021190168372576456,-0.0023715452451275485,2.6325494518319212,-0.03439861192635448,0.32099488870066756,2.1004817565192107,10,3 months,+10%
4,-0.020221454965555503,7.70231013434301e-4,-0.001434132186825225,-0.007723162966508868,0.6104039552763709,0.04262448941707561,0.17758167001814507,1.328165459868324,10,3 months,+10%
5,-0.004710125381214282,6.728193087368489e-5,-8.317266077786893e-4,-0.005226698451382537,0.1393914171549427,0.049352682504444106,0.0944090092402761,0.8054956147300701,10,3 months,+10%
6,-0.0011597667242659307,-1.2898509957417735e-4,-4.538437704510407e-4,-0.003362900255590146,0.023414744728349635,0.03645417254702637,0.049024632195172044,0.4692055891710555,10,3 months,+10%
7,-2.68202695932236e-4,-1.354655159744338e-4,-2.397020737353774e-4,-0.0020671471844205223,-0.0034055248648739633,0.022907620949582985,0.0250544248216343,0.26249087072900323,10,3 months,+10%
8,-3.734463868149304e-5,-9.658609551231072e-5,-1.2398851867575434e-4,-0.0012045450894655357,-0.007139988733023267,0.013249011398351915,0.012655572954058865,0.14203636178244963,10,3 months,+10%
9,1.5288250716805613e-5,-5.957039185872847e-5,-6.319672783405044e-5,-6.71120854721402e-4,-0.005611163661342706,0.007291972212479066,0.00633590017065382,0.07492427631030944,10,3 months,+10%
10,2.0315376641569236e-5,-3.4067172947651945e-5,-3.185928250773066e-5,-3.615052907844209e-4,-0.003579625997185782,0.0038852549177138727,0.003149971919880755,0.03877374723186735,10,3 months,+10%
11,1.4984565685807025e-5,-1.8612547487081763e-5,-1.5925844139494268e-5,-1.8995772100148422e-4,-0.0020811694286050797,0.0020240001690056963,0.001557387505931328,0.01977797513171893,10,3 months,+10%
12,9.32987304533807e-6,-9.866944217856619e-6,-7.908239583406741e-6,-9.800336312580795e-5,-0.0011481821240712728,0.0010373057472200346,7.66563547590654e-4,0.009977638819138135,10,3 months,+10%
0,0.09531017980432493,-0.002085221425268191,0.0026450304243540094,0.006517821243205847,9.531017980432493,-0.20852214252681908,0.26450304243540096,0.6517821243205847,10,6 months,+10%
1,0.020463059126218697,-5.948238448775689e-4,0.0017101197580708261,0.010208747020452807,11.577323893054363,-0.268004527014576,0.4355150182424836,1.6726568263658654,10,6 months,+10%
2,0.004729081083308229,5.090818254188281e-5,9.738155418394856e-4,0.006649794546661001,12.050232001385186,-0.2629137087603877,0.5328965724264321,2.3376362810319655,10,6 months,+10%
3,0.0011333543087922809,1.999295430721412e-4,5.260135870963637e-4,0.0041462759980782984,12.163567432264415,-0.24292075445317357,0.5854979311360685,2.7522638808397955,10,6 months,+10%
4,2.4160416066318653e-4,1.754071685567322e-4,2.75987571245601e-4,0.0024855840539439373,12.187727848330733,-0.22538003759750036,0.6130966882606286,3.000822286234189,10,6 months,+10%
5,1.8955702093945377e-5,1.1819011341556775e-4,1.4208893406079614e-4,0.0014230960952784635,12.189623418540126,-0.21356102625594356,0.6273055816667081,3.143131895762035,10,6 months,+10%
6,-0.09533659221979858,0.0021561658687661548,-0.0025728606077086865,-0.005734445500717695,2.6559641965602694,0.0020555606206718946,0.37001952089583956,2.569687345690266,10,6 months,+10%
7,-0.020489657661487744,6.347654974598672e-4,-0.0016738342605606027,-0.00979031015092939,0.606998430411495,0.06553211036665861,0.20263609483977926,1.590656330597327,10,6 months,+10%
8,-0.004747470019895777,-2.9304164638625876e-5,-9.557151264544438e-4,-0.006431243540848074,0.13225142842191723,0.06260169390279603,0.1070645821943349,0.9475319765125193,10,6 months,+10%
9,-0.0011444784735491255,-1.885554914329059e-4,-5.170404982850912e-4,-0.004034021110311549,0.0178035810670047,0.04374614475950543,0.055360532365825776,0.5441298654813644,10,6 months,+10%
10,-2.4788731929066684e-4,-1.6953268892208582e-4,-2.7156135624310806e-4,-0.0024286524752049434,-0.006985150862061986,0.026792875867296853,0.028204396741514967,0.3012646179608702,10,6 months,+10%
11,-2.236007299568601e-5,-1.1519864299939249e-4,-1.399143628152486e-4,-0.0013945028104670203,-0.009221158161630586,0.015273011567357603,0.014212960459990105,0.16181433691416816,10,6 months,+10%
12,2.46181237621437e-5,-6.943733607658509e-5,-7.110496741745718e-5,-7.691242178472099e-4,-0.006759345785416216,0.008329277959699094,0.0071024637182443865,0.08490191512944717,10,6 months,+10%
0,0.09531017980432493,-0.002085221425268191,0.0026450304243540094,0.006517821243205847,9.531017980432493,-0.20852214252681908,0.26450304243540096,0.6517821243205847,10,Permanent,+10%
1,0.020463059126218697,-5.948238448775689e-4,0.0017101197580708261,0.010208747020452807,11.577323893054363,-0.268004527014576,0.4355150182424836,1.6726568263658654,10,Permanent,+10%
2,0.004729081083308229,5.090818254188281e-5,9.738155418394856e-4,0.006649794546661001,12.050232001385186,-0.2629137087603877,0.5328965724264321,2.3376362810319655,10,Permanent,+10%
3,0.0011333543087922809,1.999295430721412e-4,5.260135870963637e-4,0.0041462759980782984,12.163567432264415,-0.24292075445317357,0.5854979311360685,2.7522638808397955,10,Permanent,+10%
4,2.4160416066318653e-4,1.754071685567322e-4,2.75987571245601e-4,0.0024855840539439373,12.187727848330733,-0.22538003759750036,0.6130966882606286,3.000822286234189,10,Permanent,+10%
5,1.8955702093945377e-5,1.1819011341556775e-4,1.4208893406079614e-4,0.0014230960952784635,12.189623418540126,-0.21356102625594356,0.6273055816667081,3.143131895762035,10,Permanent,+10%
6,-2.6412415473650144e-5,7.09444434979638e-5,7.216981664532293e-5,7.833757424881521e-4,12.186982176992762,-0.20646658190614722,0.6345225633312405,3.2214694700108506,10,Permanent,+10%
7,-2.6598535269049528e-5,3.994165258229831e-5,3.628549751022361e-5,4.184368695234143e-4,12.184322323465857,-0.20247241664791737,0.6381511130822628,3.263313156963192,10,Permanent,+10%
8,-1.8388936587547627e-5,2.1604017903257024e-5,1.8100415385041806e-5,2.1855100581292736e-4,12.182483429807103,-0.20031201485759165,0.6399611546207671,3.2851682575444845,10,Permanent,+10%
9,-1.1124164756844514e-5,1.1374051639235314e-5,8.973088811272486e-6,1.1225488776675013e-4,12.181371013331418,-0.19917460969366813,0.6408584635018943,3.29639374632116,10,Permanent,+10%
10,-6.283158627480283e-6,5.874479634646351e-6,4.426215002492953e-6,5.69315787389934e-5,12.18074269746867,-0.19858716173020352,0.6413010850021436,3.302086904195059,10,Permanent,+10%
11,-3.4043709017405903e-6,2.9914704161752565e-6,2.174571245547538e-6,2.8593284811443112e-5,12.180402260378496,-0.19828801468858595,0.6415185421266983,3.304946232676204,10,Permanent,+10%
12,-1.7942917115064393e-6,1.5071074213786937e-6,1.0648492278657468e-6,1.4251524640942162e-5,12.180222831207345,-0.1981373039464481,0.6416250270494849,3.306371385140298,10,Permanent,+10%
0,0.1823215567939546,-0.003988879438644745,0.005059754012904655,0.01246812584349017,18.232155679395458,-0.3988879438644745,0.5059754012904655,1.246812584349017,20,1 month,+20%
1,-0.14317718832965717,0.002851023968862881,-0.0017884172340244448,0.007060477014104494,3.9144368464297417,-0.11378554697818646,0.32713367788802106,1.9528602857594664,20,1 month,+20%
2,-0.03009797460496621,0.0012352391817173833,-0.0014084973006331367,-0.006808021524139161,0.904639385933121,0.009738371193551872,0.18628394782470736,1.2720581333455505,20,1 month,+20%
3,-0.006878368131099717,2.850672037678496e-4,-8.566131098667509e-4,-0.004789051916356027,0.2168025728231493,0.038245091570336835,0.10062263683803228,0.7931529417099477,20,1 month,+20%
4,-0.0017058542499020484,-4.6909548456553076e-5,-4.782818849202556e-4,-0.0031767849062017666,0.04621714783294446,0.03355413672468153,0.05279444834600672,0.47547445108977093,20,1 month,+20%
5,-4.259105760524051e-4,-1.0945213396847731e-4,-2.5613851567841375e-4,-0.002032463469237205,0.003626090227703947,0.022608923327833794,0.027180596778165346,0.2722281041660504,20,1 month,+20%
6,-8.678596389931307e-5,-9.037758725075855e-5,-1.337502705694184e-4,-0.0012237392781438731,-0.00505250616222736,0.01357116460275794,0.013805569721223505,0.14985417635166315,20,1 month,+20%
7,-3.560338561636879e-7,-5.930612151090609e-5,-6.864413583768647e-5,-6.981019613032245e-4,-0.005088109547843729,0.0076405524516673295,0.006941156137454858,0.08004398022134068,20,1 month,+20%
8,1.570437507659703e-5,-3.507858352030832e-5,-3.478676139627441e-5,-3.8236736020874125e-4,-0.003517672040184026,0.004132694099636498,0.0034624799978274167,0.04180724420046656,20,1 month,+20%
9,1.3896988890860891e-5,-1.9569193752810835e-5,-1.7459922892947275e-5,-2.0333687086857837e-4,-0.002127973151097937,0.0021757747243554143,0.0017164877085326894,0.02147355711360872,20,1 month,+20%
