month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
12,-2.489639281128449e-4,-2.727532689686951e-4,-3.105726600494403e-4,0,0.18264510162733144,0.40140591995837677,0.06971088954394955,10,6 months,+10%
0,0.001288847079347173,-8.191381700507934e-5,0.008211182467035637,26.236426446749107,0.1288847079347173,-0.008191381700507934,0.8211182467035637,30,1 month,+30%
1,3.8765533912782455e-4,6.021765103633352e-4,-0.004608752272504656,0,0.16765024184749977,0.05202626933582559,0.3602430194530981,30,1 month,+30%
2,-9.554578363955742e-4,0.00877019859947955,-9.090720614104968e-4,0,0.07210445820794234,0.9290461292837806,0.2693358133120484,30,1 month,+30%
3,0.0019886544312984773,-0.004274412460235245,-6.372393753664926e-4,0,0.2709699013377901,0.501604883260256,0.20561187577539916,30,1 month,+30%
4,-9.761614348086697e-4,-0.0036590331614580057,-6.02089237022408e-4,0,0.17335375785692309,0.13570156711445544,0.14540295207315837,30,1 month,+30%
5,-2.726372645776552e-4,0.0010094798169317661,-2.641142830446609e-4,0,0.14609003139915758,0.23664954880763203,0.11899152376869226,30,1 month,+30%
6,-1.1579024264859951e-4,1.4229735711096536e-4,-2.663654002114358e-4,0,0.13451100713429762,0.2508792845187286,0.09235498374754868,30,1 month,+30%
7,-2.8242108176583947e-4,-8.435508259500421e-4,-2.857023341512481e-4,0,0.10626889895771369,0.16652420192372439,0.06378475033242387,30,1 month,+30%
8,-1.0605131955716829e-4,2.4540499412804796e-4,-1.3844699299611976e-4,0,0.09566376700199686,0.1910647013365292,0.0499400510328119,30,1 month,+30%
9,-8.787700718349868e-5,1.1266795327612156e-4,-1.466365671391849e-4,0,0.08687606628364698,0.20233149666414135,0.03527639431889341,30,1 month,+30%
10,-1.0275304876663366e-4,-1.3716028044909873e-4,-1.3048177338838892e-4,0,0.07660076140698362,0.18861546861923148,0.022228216980054512,30,1 month,+30%
11,-5.2132272402391315e-5,-7.982065975464109e-5,-8.423953894868413e-5,0,0.07138753416674448,0.18063340264376737,0.013804263085186098,30,1 month,+30%
12,-5.409854755012572e-5,-4.836035860383142e-5,-6.94189689944562e-5,0,0.06597767941173191,0.17579736678338423,0.0068623661857404785,30,1 month,+30%
0,0.001288847079347173,-8.191381700507934e-5,0.008211182467035637,26.236426446749107,0.1288847079347173,-0.008191381700507934,0.8211182467035637,30,2 months,+30%
1,0.0016765024184749976,5.202626933582541e-4,0.003602430194530981,26.236426446749107,0.29653494978221706,0.04383488763531748,1.181361266156662,30,2 months,+30%
2,-5.678024972677522e-4,0.009372375109842884,-0.005517824333915156,0,0.23975470005544183,0.9810723986196059,0.6295788327651461,30,2 months,+30%
3,0.001033196594902903,0.004495786139244347,-0.001546311436776989,0,0.3430743595457321,1.4306510125440406,0.4749476890874472,30,2 months,+30%
4,0.0010124929964898093,-0.007933445621693236,-0.001239328612388904,0,0.44432365919471306,0.6373064503747169,0.35101482784855687,30,2 months,+30%
5,-0.0012487986993863231,-0.0026495533445263023,-8.662035200670748e-4,0,0.3194437892560808,0.3723511159220867,0.2643944758418494,30,2 months,+30%
